Age,Gender,num_coffeeBags_per_year,spent_week,spent_month,SlrAY,Distance,Online,Decision
36,Female,0,24,73,42789,0.003168235974,0,1.0
24,Male,0,44,164,74035,0.5209061258,0,
24,Male,0,39,119,30563,0.9160048718000000,1,1.0
20,Male,0,30,107,13166,0.9320983436,1,
24,Female,0,20,36,14244,0.9658814965000000,0,1.0
20,female,0,23,28,14293,1.036345783,1,1.0
34,Female,0,55,202,91035,1.134850752,0,1.0
24,Female,0,20,34,17425,1.19318787,0,
27,Male,0,49,145,43716,1.327207924,0,1.0
16,F,0,55,176,4701,1.445574752,1,1.0
25,Female,0,37,148,47993,1.556568767,0,1.0
24,Female,0,40,153,84803,1.655095669,1,
21,Female,0,38,122,42338,1.7141792880000000,1,
16,Male,0,20,69,2928,2.099595,1,
32,Male,0,42,158,51563,2.4144716,1,1.0
20,Female,0,0,63,13649,2.6340452,1,1.0
38,Male,0,28,58,30707,2.7198145780000000,0,
26,Male,0,35,118,45168,3.3385400340000000,1,1.0
29,Female,0,21,79,39950,3.496596106,1,
31,Female,0,37,141,41792,3.65770682,1,
27,Female,0,17,49,32360,4.040500509,1,0.0
23,Male,0,41,125,58390,4.206917963,1,
37,Male,0,26,73,33259,4.212506873,0,
53,Male,0,48,189,51670,4.48245741,1,1.0
28,Male,0,34,90,41032,4.554852587,1,0.0
47,Female,0,18,69,32038,4.59816269,1,0.0
32,Male,0,43,171,45894,4.607197752,1,
26,Female,0,51,191,54628,4.686783324000000,1,1.0
28,Male,0,39,143,68031,4.84273991,1,1.0
24,Male,0,41,163,64264,4.91141948,0,
21,Female,0,44,151,61029,5.098035049,0,1.0
39,Male,0,42,123,46329,5.150933202,0,
33,Male,0,0,0,12417,5.17758858,0,0.0
54,Male,0,25,100,49798,5.185721401,1,0.0
31,Male,0,19,35,16435,5.944409351,1,0.0
54,Female,0,40,134,77686,6.010629037,0,1.0
21,Female,0,43,153,49508,6.056343418000000,1,
45,Male,0,43,161,50497,6.140701593000000,0,1.0
30,Male,0,22,27,24288,6.266888147,0,
22,Male,0,34,86,40236,6.619759946,0,
27,Male,0,34,89,42262,6.6239591660000000,1,0.0
54,Male,0,35,120,67608,6.73217821,1,1.0
23,Female,0,40,114,83179,6.819163378,0,
26,Male,0,30,120,82682,7.1217344980000000,0,1.0
56,Female,0,23,82,37038,7.2870192220000000,1,0.0
50,Male,0,38,85,35152,7.579487694,0,0.0
45,Female,0,30,69,20969,7.714450653000000,0,0.0
23,Female,0,37,143,108258,8.66659061,0,1.0
29,Female,0,21,31,11092,9.03479957,1,0.0
25,Female,0,62,201,52169,9.083482786,0,1.0
23,Male,0,33,122,36792,9.190743085,1,0.0
54,Female,0,37,121,39735,9.431100897,0,0.0
29,Male,0,58,193,61629,9.870458559,0,1.0
