observation_date,NumberofWorkers
1970-01-01,70983116.10600000
1970-02-01,71105826.78800000
1970-03-01,71251812.37300000
1970-04-01,71342059.73000000
1970-05-01,71416224.14800000
1970-06-01,71483403.27000000
1970-07-01,71494627.62200000
1970-08-01,71610226.82500000
1970-09-01,71708945.17800000
1970-10-01,71720895.75900000
1970-11-01,71773096.03800000
1970-12-01,71755260.18200000
1971-01-01,71799952.03600000
1971-02-01,71855554.79900000
1971-03-01,72027477.18500000
1971-04-01,72053788.04200000
1971-05-01,72148902.29500000
1971-06-01,72208388.39500000
1971-07-01,72231111.28300000
1971-08-01,72341301.26500000
1971-09-01,72347843.93100000
1971-10-01,72405037.29500000
1971-11-01,72528622.68800000
1971-12-01,72514506.36300000
1972-01-01,72551247.50200000
1972-02-01,72424539.63100000
1972-03-01,72393062.50100000
1972-04-01,72472401.64800000
1972-05-01,72671018.97000000
1972-06-01,72686964.99700000
1972-07-01,73263778.17200000
1972-08-01,73369224.66500000
1972-09-01,73438314.03700000
1972-10-01,73603008.22100000
1972-11-01,73615440.72000000
1972-12-01,73628016.70500000
1973-01-01,73816958.15500000
1973-02-01,73871330.42900000
1973-03-01,73779366.88900000
1973-04-01,73831634.92400000
1973-05-01,74006642.77500000
1973-06-01,74072633.22100000
1973-07-01,74018444.09400000
1973-08-01,74052588.00600000
1973-09-01,74184087.19800000
1973-10-01,74302212.82700000
1973-11-01,74408659.44500000
1973-12-01,74255179.56100000
1974-01-01,74360038.05700000
1974-02-01,74548052.25900000
1974-03-01,74517949.14800000
1974-04-01,74599574.37300000
1974-05-01,74749865.14200000
1974-06-01,74796786.28000000
1974-07-01,74691201.29900000
1974-08-01,74816291.90000000
1974-09-01,74851576.00600000
1974-10-01,74908268.73200000
1974-11-01,74927893.73200000
1974-12-01,74900473.58400000
1975-01-01,74915893.28200000
1975-02-01,75024840.50400000
1975-03-01,75052628.02200000
1975-04-01,75186947.42200000
1975-05-01,75338866.07900000
1975-06-01,75499253.11700000
1975-07-01,75509639.82900000
1975-08-01,75517915.89500000
1975-09-01,75587634.43100000
1975-10-01,75632326.70900000
1975-11-01,75654440.02400000
1975-12-01,75747381.99100000
1976-01-01,75797614.13200000
1976-02-01,75767387.35400000
1976-03-01,75839649.59100000
1976-04-01,75934952.33600000
1976-05-01,75977152.61800000
1976-06-01,76055868.20300000
1976-07-01,76112800.43400000
1976-08-01,76185512.44900000
1976-09-01,76256924.41300000
1976-10-01,76201562.56100000
1976-11-01,76197022.06400000
1976-12-01,76324036.39500000
1977-01-01,76395623.68500000
1977-02-01,76389902.73400000
1977-03-01,76475249.42700000
1977-04-01,76532198.65400000
1977-05-01,76541345.83800000
1977-06-01,76604271.68500000
1977-07-01,76682972.62300000
1977-08-01,76722299.93200000
1977-09-01,76766096.07000000
1977-10-01,76763095.84300000
1977-11-01,76841921.83500000
1977-12-01,76891682.31600000
1978-01-01,76826018.54900000
1978-02-01,76933823.87700000
1978-03-01,76939166.81000000
1978-04-01,77013968.60300000
1978-05-01,77182504.42100000
1978-06-01,77192513.01100000
1978-07-01,77160035.68000000
1978-08-01,77224207.06900000
1978-09-01,77282976.76000000
1978-10-01,77365948.02500000
1978-11-01,77394169.22600000
1978-12-01,77386912.50400000
1979-01-01,77493636.11800000
1979-02-01,77515505.21900000
1979-03-01,77543550.76700000
1979-04-01,77573661.28100000
1979-05-01,77631549.43200000
1979-06-01,77697715.20200000
1979-07-01,77755705.80900000
1979-08-01,77783192.94400000
1979-09-01,77855896.03100000
1979-10-01,77903030.58800000
1979-11-01,77990397.22500000
1979-12-01,78018210.63900000
1980-01-01,78045798.95600000
1980-02-01,78054222.72500000
1980-03-01,78123758.72200000
1980-04-01,78251795.04400000
1980-05-01,78291796.57000000
1980-06-01,78381281.89600000
1980-07-01,78460680.42000000
1980-08-01,78518419.83500000
1980-09-01,78667749.46200000
1980-10-01,78696069.95800000
1980-11-01,78711317.74100000
1980-12-01,78726442.89100000
1981-01-01,78785575.92400000
1981-02-01,78773621.81800000
1981-03-01,78873550.89400000
1981-04-01,78857101.53900000
1981-05-01,78840822.47300000
1981-06-01,78854454.14400000
1981-07-01,78948282.94000000
1981-08-01,78967484.11700000
1981-09-01,78999074.96900000
1981-10-01,79021434.59100000
1981-11-01,79086392.18600000
1981-12-01,79098567.69000000
1982-01-01,79132154.51300000
1982-02-01,79282275.09600000
1982-03-01,79386808.18400000
1982-04-01,79397906.51200000
1982-05-01,79488915.05800000
1982-06-01,79508308.58100000
1982-07-01,79545021.72800000
1982-08-01,79661900.11100000
1982-09-01,79711234.91100000
1982-10-01,79771240.36900000
1982-11-01,79834727.72700000
1982-12-01,79994492.50900000
1983-01-01,80106897.07000000
1983-02-01,80147010.58300000
1983-03-01,80090172.07600000
1983-04-01,80126822.40700000
1983-05-01,80237911.38000000
1983-06-01,80326519.77500000
1983-07-01,80350384.51000000
1983-08-01,80456743.00400000
1983-09-01,80491880.73900000
1983-10-01,80549541.46300000
1983-11-01,80616682.85600000
1983-12-01,80691067.50000000
1984-01-01,80673824.42800000
1984-02-01,80731467.07600000
1984-03-01,80802137.85100000
1984-04-01,80900212.20100000
1984-05-01,80997720.26300000
1984-06-01,81110465.21600000
1984-07-01,81157835.12400000
1984-08-01,81226969.19800000
1984-09-01,81366843.93800000
1984-10-01,81386776.63600000
1984-11-01,81397414.58800000
1984-12-01,81443522.44400000
1985-01-01,81517293.81800000
1985-02-01,81559978.79700000
1985-03-01,81568407.79400000
1985-04-01,81632996.25400000
1985-05-01,81765210.05800000
1985-06-01,81794979.49500000
1985-07-01,81837237.47000000
1985-08-01,81809540.31200000
1985-09-01,81978899.67600000
1985-10-01,82081485.10200000
1985-11-01,82140956.77000000
1985-12-01,82165165.01000000
1986-01-01,82253597.87900000
1986-02-01,82382367.37400000
1986-03-01,82470736.43700000
1986-04-01,82488665.37100000
1986-05-01,82372958.16500000
1986-06-01,82468040.99300000
1986-07-01,82697277.11900000
1986-08-01,82807193.38700000
1986-09-01,82879025.85700000
1986-10-01,82948897.85400000
1986-11-01,82930893.79800000
1986-12-01,83005031.24300000
1987-01-01,83035682.89000000
1987-02-01,83089322.89900000
1987-03-01,83261784.08800000
1987-04-01,83313800.28500000
1987-05-01,83318357.06300000
1987-06-01,83392893.47800000
1987-07-01,83492570.69900000
1987-08-01,83614264.66100000
1987-09-01,83571264.04200000
1987-10-01,83646045.01700000
1987-11-01,83814788.84600000
1987-12-01,83932551.04600000
1988-01-01,84002061.11100000
1988-02-01,83995418.92200000
1988-03-01,83986554.34000000
1988-04-01,84176538.44300000
1988-05-01,84306383.14000000
1988-06-01,84275839.26700000
1988-07-01,84350169.39900000
1988-08-01,84369447.96600000
1988-09-01,84433244.43700000
1988-10-01,84503562.49400000
1988-11-01,84643228.29200000
1988-12-01,84685297.68200000
1989-01-01,84665598.86700000
1989-02-01,84738118.77000000
1989-03-01,84813913.90300000
1989-04-01,84849776.99400000
1989-05-01,84955336.61300000
1989-06-01,85059104.95900000
1989-07-01,85162097.65000000
1989-08-01,85166496.47400000
1989-09-01,85226018.32100000
1989-10-01,85254032.44700000
1989-11-01,85296869.99200000
1989-12-01,85389617.61500000
1990-01-01,85408941.41300000
1990-02-01,85443158.10200000
1990-03-01,85476645.38400000
1990-04-01,85491529.21200000
1990-05-01,85640564.83500000
1990-06-01,85665177.62600000
1990-07-01,85634564.14000000
1990-08-01,85640555.83300000
1990-09-01,85809571.43800000
1990-10-01,85914886.28100000
1990-11-01,85797656.16500000
1990-12-01,85788142.31000000
1991-01-01,85915895.61900000
1991-02-01,85927397.69300000
1991-03-01,86071765.57700000
1991-04-01,86115499.61700000
1991-05-01,86050983.16300000
1991-06-01,86136053.87800000
1991-07-01,86162981.00600000
1991-08-01,86274176.40800000
1991-09-01,86323249.44600000
1991-10-01,86246315.97500000
1991-11-01,86243842.44600000
1991-12-01,86245662.12400000
1992-01-01,86308590.54000000
1992-02-01,86436587.10600000
1992-03-01,86381538.86800000
1992-04-01,86305441.97600000
1992-05-01,86335117.40000000
1992-06-01,86418558.53300000
1992-07-01,86474282.33100000
1992-08-01,86560233.31600000
1992-09-01,86533561.71900000
1992-10-01,86603666.80700000
1992-11-01,86684263.83900000
1992-12-01,86673265.30500000
1993-01-01,86667962.16300000
1993-02-01,86677917.53800000
1993-03-01,86685407.75500000
1993-04-01,86732376.32900000
1993-05-01,86759135.27700000
