Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00999832,,,,,,,,,,,,,,,,44.72999954,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,48.34000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.86510086,,,,38.77259827,,48.45880127,,,39.26459885,,,
Angola,AGO,47.79999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2378006,,,,,42.3608017,57.24000168,57.63410187,,,36.38000107,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.15999985,,,,,30.15250015,33.0685997,34.62889862,33.6352005,44.10210037,36.21390152,27.56940079,28.95750046,31.29879951,31.64839935,31.61470032,35.68600082,36.59209824,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.02999878,52.84999847,46.13999939,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.51263913,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,65.86000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.79999924,,,44.77000046,,,,,,,,,52.84690094,50.82740021,49.15439987,
Argentina,ARG,58.41999817,,,,,,,,,,55.09999847,,,,,,,52.59999847,52.04000092,51.47000122,51.36000061,,,57.45000076,,54.22000122,,53.93000031,,53.84000015,54.20000076,48.08000183,52.70000076,53.09999847,54.09999847,52.25999832,55.70000076,53.09999847,50,49.40000153,,,,,47.27360153,45.2602005,45.50439835,44.59999847,42.55179977,42.38639832,41.05390167,40.91659927,40.52170181,40.10129929,38.60269928,,,38.95560074,39.40610123,39.00419998,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.25,,,,,,,,,,22.29759979,33.25849915,,,39.39519882,32.60770035,39.68009949,37.57410049,39.47100067,34.65209961,35.11790085,35.61589813,,
American Samoa,ASM,39.36000061,,,,,,,,,,,,,,27.89999962,,,,,,23.28000069,,,,,,,,,,30.77000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,62.70999908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.00999832,,,,,,,,,,,,,,,,,,,
Australia,AUS,,70.13999939,,,,,69.83999634,,,,,63.97999954,,,,,64.68000031,,,70.47370148,72.17520142,72.15809631,71.75289917,71.29029846,71.01979828,71.21669769,72.00579834,71.29450226,71.0381012,72.09380341,72.10359955,69.65679932,69.38639832,68.72579956,70.5759964,71.64040375,71.66349792,70.05989838,69.86969757,69.92449951,70.1812973,70.67120361,69.97570038,70.22180176,70.13980103,70.81020355,70.80139923,70.76029968,70.74749756,69.10030365,68.42549896,68.1391983,67.51909637,66.82279968,66.56269836,67.26409912,66.78569794,66.89440155,67.83879852,68.11270142,
Austria,AUT,,80.30999756,,,,,,,,,,70.58999634,,,,,,,,,59.11000061,68.55000305,60.77999878,61.56999969,64.41999817,63.41999817,64.08999634,65.68000031,64.44000244,63.58000183,63.20999908,63.61000061,64.36000061,61.70999908,62.2519989,61.74290085,59.61930084,58.41230011,58.54859924,58.3667984,56.07490158,54.68420029,55.74290085,54.70600128,55.65179825,58.00230026,57.92819977,59.42060089,59.51610184,59.50159836,58.27600098,59.19589996,59.24010086,58.77489853,58.0279007,57.42789841,57.46640015,56.08620071,56.65190125,56.41839981,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.36999893,,,,,,,,40.38000107,36.86000061,35.38999939,33.36000061,33.15999985,,,,,,,,,
