Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0,2,2,0,0,2,7,76.0,2.0,1.0,1610.0,113.0,150.0,60.0,669.0,85.0,150.0,550.0
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0,0,0,0,4,0,4,36.0,1.0,2.0,640.0,60.0,45.0,44.0,350.0,53.0,90.0,
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,34.0,152.0,30.0
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,1,0,2,2,1,2,8,55.0,4.0,2.0,777.0,104.0,122.0,81.0,260.0,89.0,122.0,
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,78.0,104.0,80.0
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,,110.0,84.0,300.0,47.0,107.0,
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,,,69.0,350.0,78.0,140.0,
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,170.0,
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,2,9,1,6,4,0,25,154.0,7.0,3.0,3500.0,700.0,243.0,66.0,400.0,159.0,,
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,59.0,130.0,
Mountain High,Sierra Nevada,California,8200,1600,6600,0,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,150.0,73.0
Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,0,0,0,0,4,0,4,26.0,,2.5,400.0,80.0,175.0,67.0,178.0,69.0,200.0,
Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,144.0,
Snow Valley,Sierra Nevada,California,7841,1041,6800,0,0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,111.0,82.0,160.0,79.0,143.0,164.0
Soda Springs,Sierra Nevada,California,7352,652,6700,0,0,0,0,1,1,2,4,18.0,,0.4,200.0,20.0,150.0,83.0,400.0,50.0,144.0,
Sugar Bowl Resort,Sierra Nevada,California,8383,1500,6883,1,0,5,3,1,0,2,12,105.0,3.0,3.0,1650.0,375.0,151.0,80.0,500.0,125.0,150.0,
Tahoe Donner,Sierra Nevada,California,7350,600,6750,0,0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,,150.0,48.0,400.0,69.0,144.0,
Arapahoe Basin Ski Area,Colorado,Colorado,13050,2530,10780,0,0,1,2,1,2,3,9,145.0,3.0,1.5,1428.0,125.0,230.0,73.0,350.0,85.0,233.0,
Aspen / Snowmass,Colorado,Colorado,12510,4406,8104,3,1,15,4,3,5,9,40,336.0,10.0,5.3,5517.0,658.0,138.0,72.0,300.0,179.0,138.0,
Copper Mountain Resort,Colorado,Colorado,12313,2738,9712,1,2,4,0,4,4,9,24,150.0,6.0,1.7,2527.0,364.0,164.0,47.0,300.0,158.0,164.0,
Purgatory,Colorado,Colorado,10822,2029,8793,0,1,2,0,3,3,3,12,101.0,9.0,1.3,1605.0,250.0,130.0,54.0,260.0,89.0,130.0,
Howelsen Hill,Colorado,Colorado,7136,440,6696,0,0,0,0,0,1,3,4,17.0,1.0,6.0,50.0,25.0,100.0,104.0,150.0,25.0,100.0,10.0
Loveland,Colorado,Colorado,13010,2210,10800,0,0,1,3,3,2,1,10,94.0,1.0,2.0,1800.0,240.0,205.0,82.0,422.0,79.0,184.0,
Monarch Mountain,Colorado,Colorado,11952,1162,10790,0,0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,,143.0,80.0,350.0,89.0,136.0,
Powderhorn,Colorado,Colorado,9850,1650,8200,0,0,1,0,0,2,2,5,42.0,2.0,1.5,1600.0,42.0,111.0,53.0,250.0,71.0,110.0,
Silverton Mountain,Colorado,Colorado,13487,3087,10400,0,0,0,0,0,1,0,1,,,1.5,1819.0,,175.0,17.0,400.0,79.0,181.0,
Cooper,Colorado,Colorado,11700,1200,10500,0,0,0,0,1,1,2,4,41.0,1.0,1.0,400.0,,130.0,74.0,260.0,56.0,130.0,
Ski Granby Ranch,Colorado,Colorado,9202,1000,8202,0,0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,92.0,100.0
Sunlight Mountain Resort,Colorado,Colorado,9895,2010,7885,0,0,0,0,1,2,0,3,67.0,1.0,2.5,680.0,30.0,100.0,53.0,250.0,65.0,135.0,
Telluride,Colorado,Colorado,13150,4425,8725,2,0,6,1,2,2,4,17,148.0,3.0,4.6,2000.0,220.0,131.0,47.0,280.0,139.0,137.0,
Wolf Creek Ski Area,Colorado,Colorado,11904,1604,10300,0,0,3,1,2,1,3,10,120.0,,2.0,1600.0,5.0,130.0,80.0,430.0,72.0,150.0,
Mohawk Mountain,Connecticut,Connecticut,1600,650,950,0,0,0,0,5,0,3,8,25.0,,1.5,107.0,100.0,,72.0,92.0,65.0,110.0,64.0
Mount Southington Ski Area,Connecticut,Connecticut,525,425,100,0,0,0,0,2,2,3,7,14.0,2.0,0.3,51.0,51.0,63.0,55.0,80.0,60.0,95.0,51.0
Powder Ridge Park,Connecticut,Connecticut,720,550,170,0,0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,55.0,100.0,40.0
Ski Sundown,Connecticut,Connecticut,1075,625,450,0,0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,95.0,66.0
Woodbury Ski Area,Connecticut,Connecticut,730,300,430,0,0,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,180.0,35.0
Bogus Basin,Idaho,Idaho,7582,1800,5800,0,0,3,0,1,3,4,11,91.0,3.0,1.5,2600.0,,134.0,77.0,250.0,64.0,130.0,165.0
Brundage Mountain Resort,Idaho,Idaho,7640,1800,5840,0,0,1,0,4,0,1,6,51.0,2.0,3.2,1920.0,2.0,126.0,58.0,320.0,70.0,,
Kelly Canyon Ski Area,Idaho,Idaho,6600,1000,5600,0,0,0,0,0,4,2,6,51.0,1.0,1.3,740.0,,,62.0,200.0,42.0,,
Lookout Pass Ski Area,Idaho,Idaho,5650,1150,4500,0,0,0,0,1,3,0,4,35.0,2.0,1.5,540.0,,113.0,84.0,400.0,47.0,140.0,
Magic Mountain Ski Area,Idaho,Idaho,7200,700,6500,0,0,0,0,0,1,2,3,11.0,,1.5,280.0,,65.0,81.0,180.0,32.0,70.0,
Pebble Creek Ski Area,Idaho,Idaho,8560,2200,6360,0,0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,91.0,30.0
Schweitzer,Idaho,Idaho,6400,2400,4000,0,1,2,0,1,3,2,9,92.0,3.0,2.1,2900.0,47.0,136.0,56.0,300.0,81.0,,100.0
Silver Mountain,Idaho,Idaho,6300,2200,4100,1,0,0,1,2,2,1,7,80.0,2.0,2.5,1600.0,225.0,130.0,29.0,300.0,62.0,193.0,20.0
Soldier Mountain Ski Area,Idaho,Idaho,7200,1400,5800,0,0,0,0,0,2,1,3,36.0,,0.4,1142.0,,60.0,71.0,,43.0,,
Tamarack Resort,Idaho,Idaho,7700,2800,4900,0,0,2,2,0,0,2,6,48.0,3.0,1.5,1020.0,200.0,,15.0,300.0,71.0,150.0,
Chestnut Mountain Resort,Illinois,Illinois,1040,475,565,0,0,0,2,4,0,3,9,22.0,3.0,0.2,139.0,139.0,87.0,60.0,50.0,55.0,112.0,139.0
Ski Snowstar Winter Sports Park,Illinois,Illinois,790,262,528,0,0,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,35.0,86.0,28.0
Villa Olivia,Illinois,Illinois,500,180,320,0,0,0,1,0,0,6,7,7.0,1.0,0.1,15.0,15.0,,53.0,25.0,40.0,70.0,15.0
Paoli Peaks,Indiana,Indiana,900,300,600,0,0,1,1,3,1,2,8,15.0,2.0,0.4,65.0,65.0,75.0,41.0,18.0,45.0,80.0,65.0
Perfect North Slopes,Indiana,Indiana,800,400,400,0,0,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,90.0,100.0
Mt. Crescent Ski Area,Iowa,Iowa,1500,300,1200,0,0,0,1,0,1,0,2,11.0,1.0,0.2,50.0,50.0,,58.0,30.0,39.0,,50.0
Seven Oaks,Iowa,Iowa,975,275,800,0,0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,100.0,35.0
Sundown Mountain,Iowa,Iowa,1059,475,584,0,0,0,1,1,2,2,6,21.0,2.0,0.6,55.0,55.0,,46.0,45.0,46.0,,55.0
Big Squaw Mountain Ski Resort,Maine,Maine,3200,660,1750,0,0,0,0,1,0,0,1,29.0,,0.8,,,67.0,6.0,,30.0,58.0,
Camden Snow Bowl,Maine,Maine,1080,850,150,0,0,0,0,1,1,1,3,26.0,2.0,1.0,100.0,48.0,68.0,83.0,69.0,43.0,70.0,48.0
Lost Valley,Maine,Maine,495,240,255,0,0,0,0,0,2,2,4,22.0,2.0,0.3,45.0,45.0,87.0,58.0,50.0,55.0,104.0,45.0
Mt. Abram Ski Resort,Maine,Maine,2250,1150,1050,0,0,0,0,0,2,3,5,54.0,1.0,0.5,640.0,175.0,120.0,59.0,125.0,49.0,120.0,
New Hermon Mountain,Maine,Maine,450,350,100,0,0,0,0,0,1,2,3,20.0,,1.9,70.0,70.0,102.0,55.0,90.0,32.0,117.0,45.0
Shawnee Peak,Maine,Maine,1900,1350,600,0,0,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,75.0,103.0,110.0
Sugarloaf,Maine,Maine,4237,2820,1417,0,0,2,3,1,5,2,13,162.0,4.0,3.5,1240.0,618.0,159.0,68.0,200.0,99.0,155.0,
Sunday River,Maine,Maine,3140,2340,800,1,0,4,5,3,1,1,15,135.0,5.0,3.0,870.0,552.0,165.0,60.0,167.0,105.0,169.0,140.0
Wisp,Maryland,Maryland,3115,700,2415,0,0,0,2,5,0,5,12,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,79.0,120.0,118.0
Berkshire East,Massachusetts,Massachusetts,1720,1180,540,0,0,0,2,1,1,2,6,47.0,2.0,2.0,180.0,165.0,120.0,68.0,120.0,68.0,120.0,80.0
Blandford Ski Area,Massachusetts,Massachusetts,1685,465,1035,0,0,0,0,0,3,2,5,29.0,2.0,0.5,132.0,70.0,,83.0,50.0,45.0,,70.0
Blue Hills Ski Area,Massachusetts,Massachusetts,635,309,326,0,0,0,0,0,1,3,4,16.0,1.0,,60.0,60.0,,19.0,,45.0,,
Bousquet Ski Area,Massachusetts,Massachusetts,1875,750,1125,0,0,0,0,0,3,2,5,23.0,1.0,1.0,200.0,98.0,,19.0,83.0,49.0,,100.0
Bradford Ski Area,Massachusetts,Massachusetts,1548,248,1300,0,0,0,0,2,0,8,10,15.0,1.0,0.3,48.0,48.0,,71.0,,55.0,,
Jiminy Peak,Massachusetts,Massachusetts,2380,1150,1230,0,1,0,2,3,1,2,9,45.0,3.0,2.0,167.0,163.0,121.0,71.0,90.0,81.0,120.0,104.0
Nashoba Valley,Massachusetts,Massachusetts,440,240,200,0,0,0,0,3,1,7,11,17.0,2.0,0.5,52.0,52.0,112.0,55.0,55.0,58.0,126.0,52.0
Otis Ridge Ski Area,Massachusetts,Massachusetts,1700,400,1300,0,0,0,0,0,1,3,4,11.0,1.0,1.0,60.0,55.0,106.0,73.0,70.0,40.0,106.0,35.0
Ski Butternut,Massachusetts,Massachusetts,1800,1000,800,0,0,0,3,1,1,6,11,22.0,2.0,1.5,110.0,110.0,107.0,56.0,115.0,60.0,110.0,
Wachusett Mountain Ski Area,Massachusetts,Massachusetts,2006,1000,1006,0,0,3,0,1,0,4,8,27.0,2.0,1.5,112.0,112.0,,57.0,100.0,71.0,120.0,104.0
Alpine Valley Ski Area,Michigan,Michigan,500,240,126,0,0,0,1,2,5,6,14,25.0,3.0,0.2,100.0,100.0,,57.0,20.0,47.0,,100.0
Apple Mountain,Michigan,Michigan,820,220,600,0,0,0,1,0,0,5,6,12.0,,,80.0,42.0,,58.0,52.0,35.0,,80.0
