Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0,2,2,0,0,2,7,76.0,2.0,1.0,1610.0,113.0,150.0,60.0,669.0,85.0,150.0,550.0,3,0.4100909718472548,0.45086746901037594,0.706140350877193,0.43478260869565216,0.5,0.9482758620689655,0.09210526315789473,0.004347826086956522,0.02631578947368421,0.0012422360248447205
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0,0,0,0,4,0,4,36.0,1.0,2.0,640.0,60.0,45.0,44.0,350.0,53.0,90.0,,3,0.4100909718472548,0.45086746901037594,0.2807017543859649,0.13043478260869565,0.25,,0.1111111111111111,0.00625,0.0,0.0
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,34.0,152.0,30.0,3,0.4100909718472548,0.45086746901037594,0.013157894736842105,0.43478260869565216,0.25,0.05172413793103448,0.23076923076923078,0.1,0.0,0.0
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,1,0,2,2,1,2,8,55.0,4.0,2.0,777.0,104.0,122.0,81.0,260.0,89.0,122.0,,2,0.027477369981550318,1.7545398719185894,0.49270767279644895,0.5147679324894515,0.6666666666666666,,0.14545454545454545,0.010296010296010296,0.0,0.0
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,78.0,104.0,80.0,2,0.027477369981550318,1.7545398719185894,0.507292327203551,0.48523206751054854,0.3333333333333333,1.0,0.1076923076923077,0.00875,0.015384615384615385,0.00125
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,,110.0,84.0,300.0,47.0,107.0,,21,0.05314811064920341,12.828736369467608,0.0033913981809773393,0.04017531044558072,0.024691358024691357,,0.5,0.056818181818181816,0.0,0.0
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,,,69.0,350.0,78.0,140.0,,21,0.05314811064920341,12.828736369467608,0.033220286727300756,,0.06172839506172839,,0.1791044776119403,0.013921113689095127,0.0,0.0
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,170.0,,21,0.05314811064920341,12.828736369467608,0.019462000924926778,0.059532505478451424,0.024691358024691357,,0.15384615384615385,0.015841584158415842,0.0,0.0
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,2,9,1,6,4,0,25,154.0,7.0,3.0,3500.0,700.0,243.0,66.0,400.0,159.0,,,21,0.05314811064920341,12.828736369467608,0.1348851549252351,0.0887509130752374,0.08641975308641975,,0.16233766233766234,0.007142857142857143,0.05844155844155844,0.0025714285714285713
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,59.0,130.0,,21,0.05314811064920341,12.828736369467608,0.016378911669492832,0.05113221329437546,0.024691358024691357,,0.125,0.009411764705882352,0.0,0.0
