state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac,state_population,state_area_sq_miles,total_area,state_land_area_sq_miles,state_water_area_sq_miles,pct_water
Alaska,3,2280.0,345.0,4.0,580.0,731545,665384,656424.0,570374.0,86051.0,0.1310905756035733
Arizona,2,1577.0,237.0,6.0,80.0,7278717,113990,114006.0,113642.0,364.0,0.003192814413276494
California,21,25948.0,2738.0,81.0,587.0,39512223,163695,163707.0,155973.0,7734.0,0.04724294013084352
Colorado,22,43682.0,3258.0,74.0,428.0,5758736,104094,104100.0,103730.0,371.0,0.00356388088376561
Connecticut,5,358.0,353.0,10.0,256.0,3565278,5543,5544.0,4845.0,698.0,0.1259018759018759
Idaho,12,16396.0,1136.0,27.0,415.0,1787065,83569,83574.0,82751.0,823.0,0.009847560246009525
Illinois,4,191.0,221.0,6.0,191.0,12671821,57914,57918.0,55593.0,2325.0,0.04014296073759453
Indiana,2,165.0,157.0,4.0,165.0,6732219,36420,36420.0,35870.0,550.0,0.015101592531576058
Iowa,3,140.0,100.0,5.0,140.0,3155070,56273,56276.0,55875.0,401.0,0.007125595280403725
Maine,9,3216.0,865.0,17.0,388.0,1344212,35380,35387.0,30865.0,4523.0,0.12781529940373584
Maryland,1,172.0,121.0,3.0,118.0,6045680,12406,12407.0,9775.0,2633.0,0.21221890868058355
Massachusetts,11,1166.0,671.0,18.0,583.0,6892503,10554,10555.0,7838.0,2717.0,0.257413548081478
Michigan,28,4406.0,2389.0,63.0,1946.0,9986857,96714,96810.0,56809.0,40001.0,0.4131907860758186
Minnesota,14,1560.0,1490.0,29.0,1020.0,5639632,86936,86943.0,79617.0,7326.0,0.08426210275697871
Missouri,2,60.0,69.0,2.0,47.0,6137428,69707,69709.0,68898.0,811.0,0.011634078813352652
Montana,12,21410.0,951.0,27.0,710.0,1068778,147040,147046.0,145556.0,1490.0,0.010132883587448826
Nevada,4,2110.0,415.0,9.0,0.0,3080156,110572,110567.0,109806.0,761.0,0.006882704604447982
New Hampshire,16,3427.0,1847.0,43.0,376.0,1359711,9349,9351.0,8969.0,382.0,0.04085124585605818
New Jersey,2,190.0,170.0,4.0,181.0,8882190,8723,8722.0,7419.0,1303.0,0.1493923412061454
New Mexico,9,5223.0,966.0,18.0,50.0,2096829,121590,121598.0,121365.0,234.0,0.001924373756147305
New York,33,5514.0,2384.0,72.0,2836.0,19453561,54555,54475.0,47224.0,7251.0,0.13310692978430472
North Carolina,6,370.0,506.0,9.0,335.0,10488084,53819,52672.0,48718.0,3954.0,0.075068347509113
Ohio,5,421.0,489.0,12.0,421.0,11689100,44826,44828.0,40953.0,3875.0,0.08644150977067903
Oregon,10,11774.0,1180.0,22.0,1127.0,4217737,98379,98386.0,96003.0,2383.0,0.02422092574146728
Pennsylvania,19,1888.0,1404.0,47.0,1528.0,12801989,46054,46058.0,44820.0,1239.0,0.026900864127838812
Rhode Island,1,30.0,100.0,1.0,30.0,1059361,1545,1545.0,1045.0,500.0,0.32362459546925565
South Dakota,2,950.0,183.0,3.0,0.0,884659,77116,77121.0,75898.0,1224.0,0.015871163496323958
Tennessee,1,0.0,83.0,1.0,0.0,6829174,42144,42146.0,41220.0,926.0,0.021971242822569164
Utah,13,30508.0,1544.0,26.0,642.0,3205958,84897,84904.0,82168.0,2736.0,0.032224630170545554
Vermont,15,7239.0,1777.0,50.0,50.0,623989,9616,9615.0,9249.0,366.0,0.03806552262090484
Virginia,4,269.0,366.0,4.0,135.0,8535519,42775,42769.0,39598.0,3171.0,0.0741424863803222
Washington,10,15330.0,1022.0,21.0,1997.0,7614893,71298,71303.0,66582.0,4721.0,0.06621039787947211
West Virginia,4,542.0,342.0,9.0,187.0,1792147,24230,24231.0,24087.0,145.0,0.005984069992984194
Wisconsin,15,1750.0,1519.0,40.0,1065.0,5822434,65496,65503.0,54314.0,11190.0,0.17083187029601699
Wyoming,8,6523.0,716.0,14.0,110.0,578759,97813,97818.0,97105.0,714.0,0.0072992700729927005
