Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0,0,2,2,0,0,2,7,76,2,1,1610,113,150,60,669,65,85,150,550
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0,0,0,0,0,4,0,4,36,1,2,640,60,45,44,350,47,53,90,
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,36,69,30,34,152,30
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,0,1,0,2,2,1,2,8,55,4,2,777,104,122,81,260,89,89,122,
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,,0,1,2,3,1,0,7,65,2,1.2,800,80,115,49,250,74,78,104,80
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0,0,0,0,1,3,1,5,10,2,0.4,88,,110,84,300,47,47,107,
Bear Mountain,Sierra Nevada,California,8805,1665,7140,0,0,0,2,1,2,3,4,12,27,14,1.5,198,198,122,76,100,,,130,
Bear Valley,Sierra Nevada,California,8500,1900,6600,0,0,1,1,0,2,4,2,10,67,2,1.2,1680,100,165,52,359,,,151,
Boreal Mountain Resort,Sierra Nevada,California,7700,500,7200,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,54,400,49,,150,200
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0,0,0,1,2,5,4,12,67,5,2,862,,,69,350,78,78,140,
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0,0,0,0,1,5,2,8,52,2,1.5,505,60,163,82,400,75,75,170,
Heavenly Mountain Resort,Sierra Nevada,California,10067,3500,7170,2,0,2,7,1,5,3,8,28,97,3,5.5,4800,3379,155,64,360,,,157,
June Mountain,Sierra Nevada,California,10090,2590,7545,0,,0,2,0,0,4,1,7,41,2,2,1500,,,58,250,,,128,
Kirkwood,Sierra Nevada,California,9800,2000,7800,0,0,0,2,1,5,1,3,12,85,2,2.5,2300,200,200,47,354,,,167,
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,0,2,9,1,6,4,0,25,154,7,3,3500,700,243,66,400,149,159,,
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,,0,0,0,3,0,1,4,32,2,1.1,425,225,140,34,300,49,59,130,
Mountain High,Sierra Nevada,California,8200,1600,6600,0,,0,2,2,2,5,3,14,59,1,1.6,290,275,118,95,108,84,84,150,73
Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,,0,0,0,0,4,0,4,26,,2.5,400,80,175,67,178,69,69,200,
Northstar California,Sierra Nevada,California,8610,2280,6330,2,0,1,7,1,2,0,7,20,100,9,1.4,3170,1500,135,47,350,,,150,
Sierra-at-Tahoe,Sierra Nevada,California,8852,2212,6640,0,,0,3,0,1,5,5,14,46,6,2.5,2000,200,160,73,460,99,,144,
Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,62,300,83,83,144,
Snow Summit,Sierra Nevada,California,8200,1200,7000,0,0,0,2,0,4,5,5,16,27,6,1.2,240,240,,67,100,,,130,150
